cluster,city,goodsan,goodwat,radio,tv,sumasset,lisradio,gradef,pregnant,curuse,curmeth,fpmess,partner,idealnum,gradep,agef,addesir,hofp5,hcfp5,difp5,notpreg
111,,0,1,0,0,0,1,7,0,0,3,0,0,4,0,18,4,1,0,0,1
1,1,0,1,1,0,1,1,7,0,0,3,0,0,9,0,15,9,1,0,0,1
122,1,0,1,1,0,2,1,7,0,1,1,0,1,2,14,26,0,0,1,0,1
102,1,0,1,1,0,3,1,7,0,0,3,1,0,4,0,24,3,1,1,0,1
238,0,0,0,1,0,3,1,10,0,0,3,1,0,,0,17,,1,0,1,1
116,0,0,0,1,0,1,1,7,0,0,3,1,1,8,3,24,6,0,0,0,1
300,0,0,1,1,0,2,1,7,0,0,3,1,1,8,7,31,5,1,0,0,1
50,1,0,1,1,0,2,1,0,0,0,3,1,1,3,4,30,0,1,1,1,1
160,1,0,0,0,0,0,1,7,1,,3,1,1,4,4,24,2,1,0,1,0
80,0,0,1,1,0,1,1,7,0,0,3,1,0,1,0,35,-3,1,0,0,1
238,0,0,0,1,0,1,1,7,0,0,3,1,0,3,0,21,1,1,0,1,1
48,0,0,1,1,0,1,1,0,,0,3,1,0,6,0,40,3,0,0,1,0
33,1,1,1,1,0,3,1,15,0,1,1,1,1,4,15,33,1,0,0,0,1
80,0,0,1,1,0,1,1,6,0,0,3,1,0,2,0,15,2,1,0,0,1
66,1,0,1,0,0,0,0,0,0,0,3,1,1,,,31,,1,1,1,1
83,0,0,0,1,0,2,1,4,0,0,3,1,1,7,7,17,7,0,0,0,1
142,0,0,0,1,0,2,1,4,0,0,3,0,1,4,7,38,3,1,0,1,1
237,0,0,0,1,0,1,1,0,0,0,3,1,0,3,0,24,2,1,0,1,1
128,1,0,1,0,0,0,0,0,0,0,3,0,1,5,4,31,0,1,0,1,1
111,,0,1,1,0,1,1,4,0,0,3,1,0,4,0,23,3,1,0,0,1
112,1,0,1,1,0,1,1,0,0,0,3,1,1,4,4,19,4,0,0,0,1
108,1,0,1,1,0,1,1,7,0,0,3,0,1,10,4,18,10,0,0,0,1
300,0,0,1,0,0,0,1,7,0,0,3,1,1,12,,32,8,1,0,0,1
143,1,0,1,1,0,1,1,0,0,0,3,0,1,,,31,,1,0,0,1
313,0,0,0,0,0,0,0,3,0,0,3,0,1,,5,27,,0,0,1,1
220,0,0,0,0,0,0,0,0,0,0,3,0,1,8,7,36,1,0,0,0,1
300,0,0,0,1,0,2,1,11,0,0,3,1,0,4,0,15,4,1,0,0,1
118,1,0,1,1,0,1,1,7,0,0,3,1,0,,0,20,,0,1,0,1
